dataset,year_group,cols
demographics,1999,SEQN
demographics,1999,RIDAGEYR
demographics,1999,RIAGENDR
demographics,1999,RIDEXPRG
demographics,1999,RIDRETH1
demographics,1999,DMDEDUC2
demographics,1999,INDFMINC
audiometry,1999,SEQN
audiometry,1999,AUXU500R
audiometry,1999,AUXU1K1R
audiometry,1999,AUXU1K2R
audiometry,1999,AUXU2KR
audiometry,1999,AUXU3KR
audiometry,1999,AUXU4KR
audiometry,1999,AUXU6KR
audiometry,1999,AUXU8KR
audiometry,1999,AUXU500L
audiometry,1999,AUXU1K1L
audiometry,1999,AUXU1K2L
audiometry,1999,AUXU2KL
audiometry,1999,AUXU3KL
audiometry,1999,AUXU4KL
audiometry,1999,AUXU6KL
audiometry,1999,AUXU8KL
biochem,1999,SEQN
biochem,1999,LBXSAL
biochem,1999,LBXSAPSI
biochem,1999,LBXSBU
biochem,1999,LBXSGL
biochem,1999,LBXSUA
biochem,1999,LBXSCR
biochem,1999,LBDSALSI
BP,1999,SEQN
BP,1999,BPXSY1
BP,1999,BPXSY2
BP,1999,BPXSY3
BP,1999,BPXSY4
CBC,1999,SEQN
CBC,1999,LBXWBCSI
CBC,1999,LBXLYPCT
CBC,1999,LBXMCVSI
CBC,1999,LBXRDW
CRP,1999,SEQN
CRP,1999,LBXCRP
hba1c,1999,SEQN
hba1c,1999,LBXGH
totcholesterol,1999,SEQN
totcholesterol,1999,LBXTC
telomere,1999,SEQN
telomere,1999,TELOMEAN
cardiovas,1999,SEQN
cardiovas,1999,MCQ160B
cardiovas,1999,MCQ160C
cardiovas,1999,MCQ160D
cardiovas,1999,MCQ160E
cardiovas,1999,MCQ160F
smoking,1999,SEQN
smoking,1999,SMQ020
diabetes,1999,SEQN
diabetes,1999,DIQ010
hypertension,1999,SEQN
hypertension,1999,BPQ020
bmi,1999,SEQN
bmi,1999,BMXBMI
ckd,1999,SEQN
ckd,1999,KIQ020
hearing,1999,SEQN
hearing,1999,AUQ210
hearing,1999,AUQ230
demographics,2001,SEQN
demographics,2001,RIDAGEYR
demographics,2001,RIAGENDR
demographics,2001,RIDEXPRG
demographics,2001,RIDRETH1
demographics,2001,DMDEDUC2
demographics,2001,INDFMINC
audiometry,2001,SEQN
audiometry,2001,AUXU500R
audiometry,2001,AUXU1K1R
audiometry,2001,AUXU1K2R
audiometry,2001,AUXU2KR
audiometry,2001,AUXU3KR
audiometry,2001,AUXU4KR
audiometry,2001,AUXU6KR
audiometry,2001,AUXU8KR
audiometry,2001,AUXU500L
audiometry,2001,AUXU1K1L
audiometry,2001,AUXU1K2L
audiometry,2001,AUXU2KL
audiometry,2001,AUXU3KL
audiometry,2001,AUXU4KL
audiometry,2001,AUXU6KL
audiometry,2001,AUXU8KL
biochem,2001,SEQN
biochem,2001,LBXSAL
biochem,2001,LBDSAPSI
biochem,2001,LBXSBU
biochem,2001,LBXSGL
biochem,2001,LBXSUA
biochem,2001,LBDSCR
biochem,2001,LBDSALSI
biochem,2001,LBDSCRSI
BP,2001,SEQN
BP,2001,BPXSY1
BP,2001,BPXSY2
BP,2001,BPXSY3
BP,2001,BPXSY4
CBC,2001,SEQN
CBC,2001,LBXWBCSI
CBC,2001,LBXLYPCT
CBC,2001,LBXMCVSI
CBC,2001,LBXRDW
CRP,2001,SEQN
CRP,2001,LBXCRP
hba1c,2001,SEQN
hba1c,2001,LBXGH
totcholesterol,2001,SEQN
totcholesterol,2001,LBXTC
telomere,2001,SEQN
telomere,2001,TELOMEAN
cardiovas,2001,SEQN
cardiovas,2001,MCQ160B
cardiovas,2001,MCQ160C
cardiovas,2001,MCQ160D
cardiovas,2001,MCQ160E
cardiovas,2001,MCQ160F
smoking,2001,SEQN
smoking,2001,SMQ020
diabetes,2001,SEQN
diabetes,2001,DIQ010
hypertension,2001,SEQN
hypertension,2001,BPQ020
bmi,2001,SEQN
bmi,2001,BMXBMI
ckd,2001,SEQN
ckd,2001,KIQ022
ckd,2001,KIQ025
hearing,2001,SEQN
hearing,2001,AUQ210
hearing,2001,AUQ230
demographics,2003,SEQN
demographics,2003,RIDAGEYR
demographics,2003,RIAGENDR
demographics,2003,RIDEXPRG
demographics,2003,RIDRETH1
demographics,2003,DMDEDUC2
demographics,2003,INDFMINC
audiometry,2003,SEQN
audiometry,2003,AUXU500R
audiometry,2003,AUXU1K1R
audiometry,2003,AUXU1K2R
audiometry,2003,AUXU2KR
audiometry,2003,AUXU3KR
audiometry,2003,AUXU4KR
audiometry,2003,AUXU6KR
audiometry,2003,AUXU8KR
audiometry,2003,AUXU500L
audiometry,2003,AUXU1K1L
audiometry,2003,AUXU1K2L
audiometry,2003,AUXU2KL
audiometry,2003,AUXU3KL
audiometry,2003,AUXU4KL
audiometry,2003,AUXU6KL
audiometry,2003,AUXU8KL
biochem,2003,SEQN
biochem,2003,LBXSAL
biochem,2003,LBXSAPSI
biochem,2003,LBXSBU
biochem,2003,LBXSGL
biochem,2003,LBXSUA
biochem,2003,LBXSCR
biochem,2003,LBDSALSI
biochem,2003,LBDSCRSI
BP,2003,SEQN
BP,2003,BPXSY1
BP,2003,BPXSY2
BP,2003,BPXSY3
BP,2003,BPXSY4
CBC,2003,SEQN
CBC,2003,LBXWBCSI
CBC,2003,LBXLYPCT
CBC,2003,LBXMCVSI
CBC,2003,LBXRDW
CRP,2003,SEQN
CRP,2003,LBXCRP
hba1c,2003,SEQN
hba1c,2003,LBXGH
totcholesterol,2003,SEQN
totcholesterol,2003,LBXTC
