year,dataset,cols,new_name
1999,demographics,SEQN,NA
1999,demographics,SDMVPSU,psu
1999,demographics,SDMVSTRA,stratum
1999,demographics,RIDAGEYR,age
1999,demographics,RIAGENDR,sex
1999,demographics,RIDEXPRG,pregnant
1999,demographics,RIDRETH1,race
1999,demographics,DMDEDUC2,education
1999,audiometry,SEQN,NA
1999,audiometry,WTSAU4YR,weights
1999,audiometry,AUXU500R,audio_right_500
1999,audiometry,AUXU1K1R,audio_right_1000
1999,audiometry,AUXU1K2R,audio_right_1000_retest
1999,audiometry,AUXU2KR,audio_right_2000
1999,audiometry,AUXU3KR,audio_right_3000
1999,audiometry,AUXU4KR,audio_right_4000
1999,audiometry,AUXU6KR,audio_right_6000
1999,audiometry,AUXU8KR,audio_right_8000
1999,audiometry,AUXU500L,audio_left_500
1999,audiometry,AUXU1K1L,audio_left_1000
1999,audiometry,AUXU1K2L,audio_left_1000_retest
1999,audiometry,AUXU2KL,audio_left_2000
1999,audiometry,AUXU3KL,audio_left_3000
1999,audiometry,AUXU4KL,audio_left_4000
1999,audiometry,AUXU6KL,audio_left_6000
1999,audiometry,AUXU8KL,audio_left_8000
1999,biochem,SEQN,NA
1999,biochem,LBXSAL,albumin
1999,biochem,LBXSAPSI,alp
1999,biochem,LBXSBU,bun
1999,biochem,LBXSGL,glucose
1999,biochem,LBXSUA,uap
1999,biochem,LBXSCR,NA
1999,biochem,LBDSALSI,albumin_gL
1999,BP,SEQN,NA
1999,BP,BPXSY1,NA
1999,BP,BPXSY2,NA
1999,BP,BPXSY3,NA
1999,BP,BPXSY4,NA
1999,CBC,SEQN,NA
1999,CBC,LBXWBCSI,wbc
1999,CBC,LBXLYPCT,lymph
1999,CBC,LBXMCVSI,mcv
1999,CBC,LBXRDW,rdw
1999,CRP,SEQN,NA
1999,CRP,LBXCRP,crp
1999,hba1c,SEQN,NA
1999,hba1c,LBXGH,hba1c
1999,totcholesterol,SEQN,NA
1999,totcholesterol,LBXTC,totchol
1999,telomere,SEQN,NA
1999,telomere,TELOMEAN,telolength
1999,smoking,SEQN,NA
1999,smoking,SMQ020,smoking
2001,demographics,SEQN,NA
2001,demographics,SDMVPSU,psu
2001,demographics,SDMVSTRA,stratum
2001,demographics,RIDAGEYR,age
2001,demographics,RIAGENDR,sex
2001,demographics,RIDEXPRG,pregnant
2001,demographics,RIDRETH1,race
2001,demographics,DMDEDUC2,education
2001,audiometry,SEQN,NA
2001,audiometry,WTSAU4YR,weights
2001,audiometry,AUXU500R,audio_right_500
2001,audiometry,AUXU1K1R,audio_right_1000
2001,audiometry,AUXU1K2R,audio_right_1000_retest
2001,audiometry,AUXU2KR,audio_right_2000
2001,audiometry,AUXU3KR,audio_right_3000
2001,audiometry,AUXU4KR,audio_right_4000
2001,audiometry,AUXU6KR,audio_right_6000
2001,audiometry,AUXU8KR,audio_right_8000
2001,audiometry,AUXU500L,audio_left_500
2001,audiometry,AUXU1K1L,audio_left_1000
2001,audiometry,AUXU1K2L,audio_left_1000_retest
2001,audiometry,AUXU2KL,audio_left_2000
2001,audiometry,AUXU3KL,audio_left_3000
2001,audiometry,AUXU4KL,audio_left_4000
2001,audiometry,AUXU6KL,audio_left_6000
2001,audiometry,AUXU8KL,audio_left_8000
2001,biochem,SEQN,NA
2001,biochem,LBXSAL,albumin
2001,biochem,LBDSAPSI,alp
2001,biochem,LBXSBU,bun
2001,biochem,LBXSGL,glucose
2001,biochem,LBXSUA,uap
2001,biochem,LBDSCR,creat
2001,biochem,LBDSALSI,albumin_gL
2001,biochem,LBDSCRSI,creat_umol
2001,BP,SEQN,NA
2001,BP,BPXSY1,NA
2001,BP,BPXSY2,NA
2001,BP,BPXSY3,NA
2001,BP,BPXSY4,NA
2001,CBC,SEQN,NA
2001,CBC,LBXWBCSI,wbc
2001,CBC,LBXLYPCT,lymph
2001,CBC,LBXMCVSI,mcv
2001,CBC,LBXRDW,rdw
2001,CRP,SEQN,NA
2001,CRP,LBXCRP,crp
2001,hba1c,SEQN,NA
2001,hba1c,LBXGH,hba1c
2001,totcholesterol,SEQN,NA
2001,totcholesterol,LBXTC,totchol
2001,telomere,SEQN,NA
2001,telomere,TELOMEAN,telolength
2001,cardiovas,SEQN,NA
2001,smoking,SEQN,NA
2001,smoking,SMQ020,smoking
2003,demographics,SEQN,NA
2003,demographics,RIDAGEYR,age
2003,demographics,SDMVPSU,psu
2003,demographics,SDMVSTRA,stratum
2003,demographics,RIAGENDR,sex
2003,demographics,RIDEXPRG,pregnant
2003,demographics,RIDRETH1,race
2003,demographics,DMDEDUC2,education
2003,audiometry,SEQN,NA
2003,audiometry,WTSAU2YR,weights
2003,audiometry,AUXU500R,audio_right_500
2003,audiometry,AUXU1K1R,audio_right_1000
2003,audiometry,AUXU1K2R,audio_right_1000_retest
2003,audiometry,AUXU2KR,audio_right_2000
2003,audiometry,AUXU3KR,audio_right_3000
2003,audiometry,AUXU4KR,audio_right_4000
2003,audiometry,AUXU6KR,audio_right_6000
2003,audiometry,AUXU8KR,audio_right_8000
2003,audiometry,AUXU500L,audio_left_500
2003,audiometry,AUXU1K1L,audio_left_1000
2003,audiometry,AUXU1K2L,audio_left_1000_retest
2003,audiometry,AUXU2KL,audio_left_2000
2003,audiometry,AUXU3KL,audio_left_3000
2003,audiometry,AUXU4KL,audio_left_4000
2003,audiometry,AUXU6KL,audio_left_6000
2003,audiometry,AUXU8KL,audio_left_8000
2003,biochem,SEQN,NA
2003,biochem,LBXSAL,albumin
2003,biochem,LBXSAPSI,alp
2003,biochem,LBXSBU,bun
2003,biochem,LBXSGL,glucose
2003,biochem,LBXSUA,uap
2003,biochem,LBXSCR,creat
2003,biochem,LBDSALSI,albumin_gL
2003,biochem,LBDSCRSI,creat_umol
2003,BP,SEQN,NA
2003,BP,BPXSY1,NA
2003,BP,BPXSY2,NA
2003,BP,BPXSY3,NA
2003,BP,BPXSY4,NA
2003,CBC,SEQN,NA
2003,CBC,LBXWBCSI,wbc
2003,CBC,LBXLYPCT,lymph
2003,CBC,LBXMCVSI,mcv
2003,CBC,LBXRDW,rdw
2003,CRP,SEQN,NA
2003,CRP,LBXCRP,crp
2003,hba1c,SEQN,NA
2003,hba1c,LBXGH,hba1c
2003,totcholesterol,SEQN,NA
2003,totcholesterol,LBXTC,totchol
2003,smoking,SEQN,NA
2003,smoking,SMQ020,smoking
2005,demographics,SEQN,NA
2005,demographics,SDMVPSU,psu
2005,demographics,SDMVSTRA,stratum
2005,demographics,WTMEC2YR,weights
2005,demographics,RIDAGEYR,age
2005,demographics,RIAGENDR,sex
2005,demographics,RIDEXPRG,pregnant
2005,demographics,RIDRETH1,race
2005,demographics,DMDEDUC2,education
2005,audiometry,SEQN,NA
2005,audiometry,AUXU500R,audio_right_500
2005,audiometry,AUXU1K1R,audio_right_1000
2005,audiometry,AUXU1K2R,audio_right_1000_retest
2005,audiometry,AUXU2KR,audio_right_2000
2005,audiometry,AUXU3KR,audio_right_3000
2005,audiometry,AUXU4KR,audio_right_4000
2005,audiometry,AUXU6KR,audio_right_6000
2005,audiometry,AUXU8KR,audio_right_8000
2005,audiometry,AUXU500L,audio_left_500
2005,audiometry,AUXU1K1L,audio_left_1000
2005,audiometry,AUXU1K2L,audio_left_1000_retest
2005,audiometry,AUXU2KL,audio_left_2000
2005,audiometry,AUXU3KL,audio_left_3000
2005,audiometry,AUXU4KL,audio_left_4000
2005,audiometry,AUXU6KL,audio_left_6000
2005,audiometry,AUXU8KL,audio_left_8000
2005,biochem,SEQN,NA
2005,biochem,LBXSAL,albumin
2005,biochem,LBXSAPSI,alp
2005,biochem,LBXSBU,bun
2005,biochem,LBXSGL,glucose
2005,biochem,LBXSUA,uap
2005,biochem,LBXSCR,NA
2005,biochem,LBDSALSI,albumin_gL
2005,BP,SEQN,NA
2005,BP,BPXSY1,NA
2005,BP,BPXSY2,NA
2005,BP,BPXSY3,NA
2005,BP,BPXSY4,NA
2005,CBC,SEQN,NA
2005,CBC,LBXWBCSI,wbc
2005,CBC,LBXLYPCT,lymph
2005,CBC,LBXMCVSI,mcv
2005,CBC,LBXRDW,rdw
2005,CRP,SEQN,NA
2005,CRP,LBXCRP,crp
2005,hba1c,SEQN,NA
2005,hba1c,LBXGH,hba1c
2005,totcholesterol,SEQN,NA
2005,totcholesterol,LBXTC,totchol
2005,smoking,SEQN,NA
2005,smoking,SMQ020,smoking
2009,demographics,SEQN,NA
2009,demographics,WTMEC2YR,weights
2009,demographics,SDMVPSU,psu
2009,demographics,SDMVSTRA,stratum
2009,demographics,RIDAGEYR,age
2009,demographics,RIAGENDR,sex
2009,demographics,RIDEXPRG,pregnant
2009,demographics,RIDRETH1,race
2009,demographics,DMDEDUC2,education
2009,audiometry,SEQN,NA
2009,audiometry,AUXU500R,audio_right_500
2009,audiometry,AUXU1K1R,audio_right_1000
2009,audiometry,AUXU1K2R,audio_right_1000_retest
2009,audiometry,AUXU2KR,audio_right_2000
2009,audiometry,AUXU3KR,audio_right_3000
2009,audiometry,AUXU4KR,audio_right_4000
2009,audiometry,AUXU6KR,audio_right_6000
2009,audiometry,AUXU8KR,audio_right_8000
2009,audiometry,AUXU500L,audio_left_500
2009,audiometry,AUXU1K1L,audio_left_1000
2009,audiometry,AUXU1K2L,audio_left_1000_retest
2009,audiometry,AUXU2KL,audio_left_2000
2009,audiometry,AUXU3KL,audio_left_3000
2009,audiometry,AUXU4KL,audio_left_4000
2009,audiometry,AUXU6KL,audio_left_6000
2009,audiometry,AUXU8KL,audio_left_8000
2009,biochem,SEQN,NA
2009,biochem,LBXSAL,albumin
2009,biochem,LBXSAPSI,alp
2009,biochem,LBXSBU,bun
2009,biochem,LBXSGL,glucose
2009,biochem,LBXSUA,uap
2009,biochem,LBXSCR,creat
2009,biochem,LBDSALSI,albumin_gL
2009,biochem,LBDSCRSI,creat_umol
2009,BP,SEQN,NA
2009,BP,BPXSY1,NA
2009,BP,BPXSY2,NA
2009,BP,BPXSY3,NA
2009,BP,BPXSY4,NA
2009,CBC,SEQN,NA
2009,CBC,LBXWBCSI,wbc
2009,CBC,LBXLYPCT,lymph
2009,CBC,LBXMCVSI,mcv
2009,CBC,LBXRDW,rdw
2009,CRP,SEQN,NA
2009,CRP,LBXCRP,crp
2009,hba1c,SEQN,NA
2009,hba1c,LBXGH,hba1c
2009,totcholesterol,SEQN,NA
2009,totcholesterol,LBXTC,totchol
2009,smoking,SEQN,NA
2009,smoking,SMQ020,smoking
2015,demographics,SEQN,NA
2015,demographics,WTMEC2YR,weights
2015,demographics,SDMVPSU,psu
2015,demographics,SDMVSTRA,stratum
2015,demographics,RIDAGEYR,age
2015,demographics,RIAGENDR,sex
2015,demographics,RIDEXPRG,pregnant
2015,demographics,RIDRETH1,race
2015,demographics,DMDEDUC2,education
2015,audiometry,SEQN,NA
2015,audiometry,AUXU500R,audio_right_500
2015,audiometry,AUXU1K1R,audio_right_1000
2015,audiometry,AUXU1K2R,audio_right_1000_retest
2015,audiometry,AUXU2KR,audio_right_2000
2015,audiometry,AUXU3KR,audio_right_3000
2015,audiometry,AUXU4KR,audio_right_4000
2015,audiometry,AUXU6KR,audio_right_6000
2015,audiometry,AUXU8KR,audio_right_8000
2015,audiometry,AUXU500L,audio_left_500
2015,audiometry,AUXU1K1L,audio_left_1000
2015,audiometry,AUXU1K2L,audio_left_1000_retest
2015,audiometry,AUXU2KL,audio_left_2000
2015,audiometry,AUXU3KL,audio_left_3000
2015,audiometry,AUXU4KL,audio_left_4000
2015,audiometry,AUXU6KL,audio_left_6000
2015,audiometry,AUXU8KL,audio_left_8000
2015,biochem,SEQN,NA
2015,biochem,LBXSAL,albumin
2015,biochem,LBXSAPSI,alp
2015,biochem,LBXSBU,bun
2015,biochem,LBXSGL,glucose
2015,biochem,LBXSUA,uap
2015,biochem,LBXSCR,creat
2015,biochem,LBDSALSI,albumin_gL
2015,biochem,LBDSCRSI,creat_umol
2015,BP,SEQN,NA
2015,BP,BPXSY1,NA
2015,BP,BPXSY2,NA
2015,BP,BPXSY3,NA
2015,BP,BPXSY4,NA
2015,CBC,SEQN,NA
2015,CBC,LBXWBCSI,wbc
2015,CBC,LBXLYPCT,lymph
2015,CBC,LBXMCVSI,mcv
2015,CBC,LBXRDW,rdw
